Date,Open,High,Low,Close,Volume
2025-01-31,194568.6057511295,201976.03998023344,192395.75837725904,196741.453125,11871995
2025-02-03,189136.46968308015,190815.48795180724,184593.2437794657,188543.875,7926444
2025-02-04,190519.20606848507,191901.92710786237,187753.7639897305,188741.421875,5851146
2025-02-05,189531.55111135563,196938.9853653169,189531.55111135563,196346.390625,4245118
2025-02-06,199506.9037162162,202469.8775337838,198025.41680743243,200988.390625,4032622
2025-02-07,202469.8783866995,203457.53633004925,198025.4176416256,200494.5625,2206293
2025-02-10,195358.71827675417,200494.53897968197,194568.59201476525,195655.015625,2779740
2025-02-11,198519.23651101653,199013.06545756134,195556.26283174762,197235.28125,2488710
2025-02-12,194074.77729072399,197432.81414969833,193580.9483408748,196445.15625,2884072
2025-02-13,196346.39025779377,205926.671875,195655.02972871703,205926.671875,3574410
2025-02-14,206420.49836309522,209383.4720238095,203951.35364583333,207408.15625,2598656
2025-02-17,208889.63981426886,213334.10023584907,208395.81087853774,209383.46875,2497922
2025-02-18,209383.4720238095,212346.4456845238,204445.18258928572,207408.15625,1937894
2025-02-19,213334.1052631579,216790.90789473683,211358.7894736842,215803.25,3537720
2025-02-20,214321.75810731133,215803.2449145047,208395.81087853774,209383.46875,3080242
2025-02-21,206914.34375,208395.8306980907,202963.71188842482,206914.34375,2601151
2025-02-24,200000.73018292684,202469.875,198519.24329268295,202469.875,3087127
2025-02-25,197334.04572942643,199506.8930798005,196741.45099750624,198025.40625,3651613
2025-02-26,196543.930726601,203457.53633004925,196148.86754926108,200494.5625,3849749
2025-02-27,203281.8512722766,203778.8729135291,196919.97426424446,198013.421875,3993419
2025-02-28,190458.70757754994,191850.36828009988,187575.9818365536,189067.046875,5533027
2025-03-04,183699.19686996238,186383.1137073482,182903.9622514777,184991.453125,5424556
2025-03-05,187078.9533434749,193242.0219445883,185488.48402705853,191949.765625,4162368
2025-03-06,192347.36945328742,192844.3910797817,189166.431043724,191253.921875,2540131
2025-03-07,189862.261320816,191651.53917619542,186780.72723655144,191253.921875,2700590
2025-03-10,186383.10146687066,190359.27429816392,186184.292825306,186780.71875,2441476
2025-03-11,181015.29657547924,187874.1957867412,180220.06188431842,186681.34375,3521800
2025-03-12,191253.93709150326,198162.53824943438,188570.02009489693,197715.21875,4064278
2025-03-13,201293.77445073862,203281.86111198048,194335.4711363921,198510.453125,3883033
2025-03-14,197317.59944223717,204772.9243581907,197317.59944223717,203281.859375,3397462
2025-03-17,205766.96518507283,208252.07346025485,202287.81359981795,204772.921875,2584679
2025-03-18,207258.0191656404,207755.040794335,199802.69473522168,201790.78125,2696191
2025-03-19,200796.73920316302,208252.06367852798,199802.69593978103,204275.890625,3102000
2025-03-20,205766.96383928572,209743.13705357144,204275.89888392857,208749.09375,2779557
2025-03-21,212228.24155307424,218192.5012688515,210737.17662412993,214216.328125,5731880
2025-03-24,210240.15625,213222.28612588652,208252.06966607564,210240.15625,1611040
2025-03-25,213222.28125,214216.32451923078,206761.0,206761.0,2262656
2025-03-26,207755.03387850468,214216.3148364486,207258.01226635516,212725.25,2058540
2025-03-27,206761.0120772947,210737.18538647343,205269.94708635265,205766.96875,2287220
2025-03-28,201790.7883059458,203281.85324416708,197715.21080814098,198112.828125,2673553
2025-03-31,192347.38381620348,194335.47047063452,189365.2538345569,189564.0625,4561715
2025-04-01,192446.7840101523,197317.59620875635,190856.3147208122,195826.53125,2317253
2025-04-02,197615.82655381504,200299.7437152602,196124.7614641233,196721.1875,2764223
2025-04-03,188470.6115750257,193440.828125,187078.95094103288,193440.828125,4177747
2025-04-04,186780.75036875688,188470.62410812295,177337.33829582875,181114.703125,9182017
2025-04-07,166999.28246359222,171770.69053398058,163818.34375,163818.34375,7879050
2025-04-08,170975.46792035399,172068.91568030973,167198.10293141592,168490.359375,4965171
2025-04-09,168987.3731060606,168987.3731060606,161730.8564962121,164017.15625,8035679
2025-04-10,188570.01588939683,188768.8245513783,178927.79578329696,182108.734375,7836984
2025-04-11,176740.90130669248,180717.07456443584,175051.02767215154,179723.03125,3223735
2025-04-14,181810.5105264983,183301.57540233072,176939.69859877913,179126.59375,3466194
2025-04-15,179126.60143272424,181313.49667774086,178629.57978612956,179524.21875,1915455
2025-04-16,175448.63945761495,176442.6827406609,172466.509608477,172963.53125,2933428
2025-04-17,171074.83717857144,174355.17978571428,170776.62421428572,173957.5625,2989493
2025-04-18,172963.51928571428,174454.58410714287,171770.66742857144,173957.5625,1305152
2025-04-21,173758.76893403172,178927.794096829,173460.55594387033,175548.046875,1877473
2025-04-22,173957.57066311853,174454.59229358457,172267.69711953393,172764.71875,2008388
2025-04-23,178033.14595131215,180518.25407458562,177039.10270200277,179921.828125,3857373
2025-04-24,181711.10074312956,182307.52667554683,176542.07599551318,177237.90625,3162156
2025-04-25,181412.89592089207,183798.59975765998,181015.2786147641,183301.578125,3507810
2025-04-28,182406.93990384616,182804.55721153846,178629.57548076924,180915.875,2455710
2025-04-29,180915.883227323,181810.52221031528,178033.15761545906,179723.03125,1866386
2025-04-30,178033.15679577464,178927.79577464788,175647.45285211268,176442.6875,2354473
2025-05-02,178331.3613407258,185090.85552755377,177337.318077957,184892.046875,3886874
2025-05-07,186581.91903334644,190359.28340376046,184792.64117367662,189663.453125,3830097
2025-05-08,194832.5003284288,194832.5003284288,188271.81409287968,189166.453125,5125330
2025-05-09,190856.3072067333,191651.5418200947,185687.28221988428,188967.625,2539822
2025-05-12,192446.79243589743,194037.2617948718,192347.38810096154,193838.453125,1624884
2025-05-13,199305.68033690177,200299.72363035264,196124.74179785894,197317.59375,3385009
2025-05-14,205766.96518507283,205766.96518507283,202784.83525485438,204772.921875,3333511
2025-05-15,206263.97463372818,206760.9962593516,198311.62862375312,199305.671875,3178957
2025-05-16,204772.9243581907,205518.45684978607,202287.81605287286,203281.859375,2419507
2025-05-19,201790.79026140925,201790.79026140925,196323.55210161736,198212.234375,2482673
2025-05-20,201293.78732209158,206761.025990099,200299.74392790842,200796.765625,2820546
2025-05-21,203281.84487998753,203778.86650561096,198709.24592425185,199305.671875,1721760
